State,inicio,varinicio,varfim,pt_v,id,vir,inteiro,real,literal,leia,escreva,lit,num,rcb,opm,se,ab_p,fc_p,entao,opr,fimse,repita,fimrepita,fim,eof
0,s2,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0
1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,acc
2,e2,s4,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2
3,e3,e3,e3,e3,s13,e3,e3,e3,e3,s11,s12,e3,e3,e3,e3,s16,e3,e3,e3,e3,e3,s17,e3,s10,e3
4,e4,e4,s20,e4,e4,e4,s22,s23,s24,e4,e4,e4,e4,e4,e4,e4,e4,e4,e4,e4,e4,e4,e4,e4,e4
5,e5,e5,e5,e5,e5,e5,e5,e5,e5,e5,e5,e5,e5,e5,e5,e5,e5,e5,e5,e5,e5,e5,e5,e5,r1
6,e6,e6,e6,e6,s13,e6,e6,e6,e6,s11,s12,e6,e6,e6,e6,s16,e6,e6,e6,e6,e6,s17,e6,s10,e6
7,e7,e7,e7,e7,s13,e7,e7,e7,e7,s11,s12,e7,e7,e7,e7,s16,e7,e7,e7,e7,e7,s17,e7,s10,e7
8,e8,e8,e8,e8,s13,e8,e8,e8,e8,s11,s12,e8,e8,e8,e8,s16,e8,e8,e8,e8,e8,s17,e8,s10,e8
9,e9,e9,e9,e9,s13,e9,e9,e9,e9,s11,s12,e9,e9,e9,e9,s16,e9,e9,e9,e9,e9,s17,e9,s10,e9
10,e10,e10,e10,e10,e10,e10,e10,e10,e10,e10,e10,e10,e10,e10,e10,e10,e10,e10,e10,e10,e10,e10,e10,e10,r38
11,e11,e11,e11,e11,s29,e11,e11,e11,e11,e11,e11,e11,e11,e11,e11,e11,e11,e11,e11,e11,e11,e11,e11,e11,e11
12,e12,e12,e12,e12,s33,e12,e12,e12,e12,e12,e12,s31,s32,e12,e12,e12,e12,e12,e12,e12,e12,e12,e12,e12,e12
13,e13,e13,e13,e13,e13,e13,e13,e13,e13,e13,e13,e13,e13,s34,e13,e13,e13,e13,e13,e13,e13,e13,e13,e13,e13
14,e14,e14,e14,e14,s13,e14,e14,e14,e14,s11,s12,e14,e14,e14,e14,s16,e14,e14,e14,e14,s39,e14,e14,e14,e14
15,e15,e15,e15,e15,s13,e15,e15,e15,e15,s11,s12,e15,e15,e15,e15,s16,e15,e15,e15,e15,e15,e15,s44,e15,e15
16,e16,e16,e16,e16,e16,e16,e16,e16,e16,e16,e16,e16,e16,e16,e16,e16,s45,e16,e16,e16,e16,e16,e16,e16,e16
17,e17,e17,e17,e17,e17,e17,e17,e17,e17,e17,e17,e17,e17,e17,e17,e17,s46,e17,e17,e17,e17,e17,e17,e17,e17
18,e18,e18,e18,e18,r2,e18,e18,e18,e18,r2,r2,e18,e18,e18,e18,r2,e18,e18,e18,e18,e18,r2,e18,r2,e18
19,e19,e19,s20,e19,e19,e19,s22,s23,s24,e19,e19,e19,e19,e19,e19,e19,e19,e19,e19,e19,e19,e19,e19,e19,e19
20,e20,e20,e20,s48,e20,e20,e20,e20,e20,e20,e20,e20,e20,e20,e20,e20,e20,e20,e20,e20,e20,e20,e20,e20,e20
21,e21,e21,e21,e21,s50,e21,e21,e21,e21,e21,e21,e21,e21,e21,e21,e21,e21,e21,e21,e21,e21,e21,e21,e21,e21
22,e22,e22,e22,e22,r8,e22,e22,e22,e22,e22,e22,e22,e22,e22,e22,e22,e22,e22,e22,e22,e22,e22,e22,e22,e22
23,e23,e23,e23,e23,r9,e23,e23,e23,e23,e23,e23,e23,e23,e23,e23,e23,e23,e23,e23,e23,e23,e23,e23,e23,e23
24,e24,e24,e24,e24,r10,e24,e24,e24,e24,e24,e24,e24,e24,e24,e24,e24,e24,e24,e24,e24,e24,e24,e24,e24,e24
25,e25,e25,e25,e25,e25,e25,e25,e25,e25,e25,e25,e25,e25,e25,e25,e25,e25,e25,e25,e25,e25,e25,e25,e25,r11
26,e26,e26,e26,e26,e26,e26,e26,e26,e26,e26,e26,e26,e26,e26,e26,e26,e26,e26,e26,e26,e26,e26,e26,e26,r17
27,e27,e27,e27,e27,e27,e27,e27,e27,e27,e27,e27,e27,e27,e27,e27,e27,e27,e27,e27,e27,e27,e27,e27,e27,r23
28,e28,e28,e28,e28,e28,e28,e28,e28,e28,e28,e28,e28,e28,e28,e28,e28,e28,e28,e28,e28,e28,e28,e28,e28,r31
29,e29,e29,e29,s51,e29,e29,e29,e29,e29,e29,e29,e29,e29,e29,e29,e29,e29,e29,e29,e29,e29,e29,e29,e29,e29
30,e30,e30,e30,s52,e30,e30,e30,e30,e30,e30,e30,e30,e30,e30,e30,e30,e30,e30,e30,e30,e30,e30,e30,e30,e30
31,e31,e31,e31,r14,e31,e31,e31,e31,e31,e31,e31,e31,e31,e31,e31,e31,e31,e31,e31,e31,e31,e31,e31,e31,e31
32,e32,e32,e32,r15,e32,e32,e32,e32,e32,e32,e32,e32,e32,e32,e32,e32,e32,e32,e32,e32,e32,e32,e32,e32,e32
33,e33,e33,e33,r16,e33,e33,e33,e33,e33,e33,e33,e33,e33,e33,e33,e33,e33,e33,e33,e33,e33,e33,e33,e33,e33
34,e34,e34,e34,e34,s55,e34,e34,e34,e34,e34,e34,e34,s56,e34,e34,e34,e34,e34,e34,e34,e34,e34,e34,e34,e34
35,e35,e35,e35,e35,r24,e35,e35,e35,e35,r24,r24,e35,e35,e35,e35,r24,e35,e35,e35,e35,r24,r24,r24,r24,e35
